Kolokviji_difraf	Kolokviji_intraf
1	72	97
2	106	57
3	93	97
4	179	171
5	81	73
6	108	131
7	135	129
8	109	116
9	80	73
10	124	96
11	100	104
12	113	103
13	98	104
14	89	87
15	165	92
16	88	89
17	67	50
18	110	84
19	127	114
20	114	94
21	146	134
22	131	129
23	101	44
24	85	82
25	165	185
26	138	122
27	96	98
28	97	78
29	103	92
30	92	103
31	127	105
32	90	51
33	115	101
34	137	156
35	118	57
36	225	202
37	198	194
38	161	125
39	108	74
40	132	149
41	96	84
42	129	110
43	82	93
44	146	116
45	102	80
46	131	125
47	128	95
48	88	65
49	131	93
50	110	98
